42,06.03 12:00,151.08,0
42,06.03 13:00,149.823,0
42,06.03 14:00,152.474,0
42,06.03 15:00,153.697,0
42,06.03 16:00,156.611,0
42,06.03 17:00,152.081,0
42,06.03 18:00,147.788,0
42,06.03 19:00,151.892,0
42,06.03 20:00,148.603,0
42,06.03 21:00,147.288,0
42,06.03 22:00,149.346,0
42,06.03 23:00,146.676,0
42,07.03 00:00,128.735,0
42,07.03 01:00,122.947,0
42,07.03 02:00,142.065,0
42,07.03 03:00,147.364,0
42,07.03 04:00,145.179,0
42,07.03 05:00,144.613,0
42,07.03 06:00,147.38,0
42,07.03 07:00,151.692,0
42,07.03 08:00,168.042,0
42,07.03 09:00,187.064,0
42,07.03 10:00,192.471,0
42,07.03 11:00,197.188,0
42,07.03 12:00,197.963,0
42,07.03 13:00,203.26,0
42,07.03 14:00,202.639,0
42,07.03 15:00,207.237,0
42,07.03 16:00,197.844,0
42,07.03 17:00,184.797,0
42,07.03 18:00,166.114,0
42,07.03 19:00,166.424,0
42,07.03 20:00,164.679,0
42,07.03 21:00,159.586,0
42,07.03 22:00,158.259,0
42,07.03 23:00,156.121,0
42,08.03 00:00,138.739,0
42,08.03 01:00,129.125,0
42,08.03 02:00,148.815,0
42,08.03 03:00,151.328,0
42,08.03 04:00,149.04,0
42,08.03 05:00,146.466,0
42,08.03 06:00,149.587,0
42,08.03 07:00,150.337,0
42,08.03 08:00,167.517,0
42,08.03 09:00,176.116,0
42,08.03 10:00,188.502,0
42,08.03 11:00,188.392,0
42,08.03 12:00,191.029,0
42,08.03 13:00,196.684,0
42,08.03 14:00,202.082,0
42,08.03 15:00,199.319,0
42,08.03 16:00,203.505,0
42,08.03 17:00,186.556,0
42,08.03 18:00,163.182,0
42,08.03 19:00,164.3,0
42,08.03 20:00,165.129,0
42,08.03 21:00,161.703,0
42,08.03 22:00,158.276,0
42,08.03 23:00,161.186,0
42,09.03 00:00,134.204,0
42,09.03 01:00,126.032,0
42,09.03 02:00,141.399,0
42,09.03 03:00,146.61,0
42,09.03 04:00,145.348,0
42,09.03 05:00,143.805,0
42,09.03 06:00,145.172,0
42,09.03 07:00,150.431,0
42,09.03 08:00,168.372,0
42,09.03 09:00,185.08,0
42,09.03 10:00,191.864,0
42,09.03 11:00,197.839,0
42,09.03 12:00,200.623,0
42,09.03 13:00,203.944,0
42,09.03 14:00,205.945,0
42,09.03 15:00,208.465,0
42,09.03 16:00,207.154,0
42,09.03 17:00,192.797,0
42,09.03 18:00,168.403,0
42,09.03 19:00,167.175,0
42,09.03 20:00,167.571,0
42,09.03 21:00,167.654,0
